label,subject,body
jobs,Thank you for your application to Figma,"
Hi Emily,

Thank you for your interest in Figma! We wanted to let you know we received your application for Software Engineer Intern (2022), and we are delighted that you would consider joining our team.

While we’re not able to respond to every applicant, our recruiting team will contact you if your skills and experience are a strong match for the role. If you are not selected for this position, keep an eye on our jobs page as we're growing and adding openings.

Best,

The Figma Team"
jobs,Thank you for applying to Coinbase,"Hi Emily,

Thank you for showing interest in joining our team and taking the time to apply to Coinbase.

We'll be reviewing your application shortly and will reach out to you on any next steps if your qualifications match our needs for the role.

Global Data Privacy Notice for Job Candidates and Applicants

Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how your data will be processed as part of the application procedure for application locations is available here: Ireland/EU ( https://static-assets.coinbase.com/privacy_notice_and_consent_for_new_applicants_coinbase_ireland.pdf ), United Kingdom ( https://static-assets.coinbase.com/privacy_notice_and_consent_for_new_applicants_CB_payments.pdf ), and California ( https://static-assets.coinbase.com/notice_at_collection_to_applicants_residing_in_california_CCPA.pdf ). By submitting your application, you are agreeing to our use and processing of your data as required.

Regards,
Coinbase

** Please note: Do not reply to this email. This email is sent from an unattended mailbox. Replies will not be read.
"
jobs,Account created,"<p>Hello Emily Fang,</p>

<p>&nbsp;</p>

<p>Your Hubbell Careers account has successfully been created! You can log in after you have activated your account by clicking the link below.</p>

<p>Please click this link to activate your account:</p>

<p><br />
<a href='https://career4.successfactors.com/career?company=Hubbell&email=fangemily60%40gmail.com&hash=VK2RDyBuBLUAX4kv2ly9euFB3KM8S3Wlc4qVOA6obY8%3D&navBarLevel=EMAIL_VERIFICATION&rcm_site_locale=en_US&career_job_req_id=83182&jobPipeline=LinkedIn&clientId=jobs2web'>Click Here</a></p>

<p>&nbsp;</p>

<p>Regards,</p>

<p>Hubbell Talent Aquisition Team</p>

"
jobs,Thank you for applying with Hubbell,"
Emily:

Thank you for expressing interest in Career opportunities with Hubbell!  Your application for the following position is in process:

83182,  Hubbell Rotational Program - Engineering

What happens next?

A member of the Hubbell Recruiting team will review your application and contact you via phone or email if you are selected for a phone screen.  Unfortunately, due to the large number of applications received, it is not possible for our team to contact every applicant individually. However, a status update of each position is available under your ""Jobs Applied"" tab in your Hubbell Careers account.  To learn more about Hubbell, please visit our website:  www.hubbell.com.

We wish you success in your job search!

Regards,

Hubbell Talent Acquisition Team"
jobs,Thank you for applying to SADA,"Hi Emily,

Thanks for your interest in a career at SADA. Your application has been received.

What happens now? We will review your application and will contact you if there is a good fit.

Regards,

SADA Talent Acquisition team

** Please note: Do not reply to this email. This email is sent from an unattended mailbox. Replies will not be read.
"
jobs,Thank you for applying to Coinbase,"Hi Emily,

Thank you for showing interest in joining our team and taking the time to apply to Coinbase.

We'll be reviewing your application shortly and will reach out to you on any next steps if your qualifications match our needs for the role.

Global Data Privacy Notice for Job Candidates and Applicants

Depending on your location, the General Data Protection Regulation (GDPR) and California Consumer Privacy Act (CCPA) may regulate the way we manage the data of job applicants. Our full notice outlining how your data will be processed as part of the application procedure for application locations is available here: Ireland/EU ( https://static-assets.coinbase.com/privacy_notice_and_consent_for_new_applicants_coinbase_ireland.pdf ), United Kingdom ( https://static-assets.coinbase.com/privacy_notice_and_consent_for_new_applicants_CB_payments.pdf ), and California ( https://static-assets.coinbase.com/notice_at_collection_to_applicants_residing_in_california_CCPA.pdf ). By submitting your application, you are agreeing to our use and processing of your data as required.

Regards,
Coinbase

** Please note: Do not reply to this email. This email is sent from an unattended mailbox. Replies will not be read.
"
jobs,Thank you for your application to Asana!,"Hi Emily,

Thanks for your interest in being a part of the Asana team and helping us achieve our vision! This email confirms that we have received your application. In the next few days, our Talent Acquisition team will carefully assess your experience to see if it’s a match for the role that you applied for, as well as for others that may be a fit. If there's a match, we will be in touch shortly!

In the meantime, check out the latest on our blog ( https://blog.asana.com/category/culture/ ) about working at Asana, and we will follow up with you as soon as we can.

Best,

Asana Talent Acquisition

Follow us on Facebook ( https://www.facebook.com/asana/ ), LinkedIn ( https://www.linkedin.com/company/asana/ ), Twitter ( https://twitter.com/asana?lang=en ), Instagram ( https://www.instagram.com/teamasana/ )
"
jobs,Thanks for applying to Google,"Hi Emily Fang,

Thanks for applying to Google! There are a ton of great companies out  
there, so we appreciate your interest in joining our team.

While we’re not able to reach out to every applicant, our recruiting team  
will contact you if your skills and experience are a strong match for the  
role. In the meantime, join the conversation about job opportunities and  
life at Google on our LinkedIn page:  
https://www.linkedin.com/company/google/.

Thanks,

Google Staffing


Learn more about our Equal Employment Opportunity policy:  
https://careers.google.com/eeo/ and the EEOC's ""Equal Employment  
Opportunity is The Law"" (PDF):  
https://careers.google.com/static/files/eeoisthelaw.pdf

Pay Transparency Policy
Google's Pay Transparency Policy ensures that you won't be discharged or  
discriminated against based on whether you've inquired about, discussed, or  
disclosed your pay.  Read the full policy (PDF):  
https://careers.google.com/static/files/paytransparency.pdf

The information you provide will be used in accordance with Google's  
applicant and candidate privacy policy:  
https://careers.google.com/privacy-policy/.
"
jobs,Thanks for applying to Google,"Hi Emily Fang,

Thanks for applying to Google! There are a ton of great companies out  
there, so we appreciate your interest in joining our team.

While we’re not able to reach out to every applicant, our recruiting team  
will contact you if your skills and experience are a strong match for the  
role. In the meantime, join the conversation about job opportunities and  
life at Google on our LinkedIn page:  
https://www.linkedin.com/company/google/.

Thanks,

Google Staffing


Learn more about our Equal Employment Opportunity policy:  
https://careers.google.com/eeo/ and the EEOC's ""Equal Employment  
Opportunity is The Law"" (PDF):  
https://careers.google.com/static/files/eeoisthelaw.pdf

Pay Transparency Policy
Google's Pay Transparency Policy ensures that you won't be discharged or  
discriminated against based on whether you've inquired about, discussed, or  
disclosed your pay.  Read the full policy (PDF):  
https://careers.google.com/static/files/paytransparency.pdf

The information you provide will be used in accordance with Google's  
applicant and candidate privacy policy:  
https://careers.google.com/privacy-policy/.
"
jobs,Your application to the AsanaUP Software Engineering Apprentice role at Asana,"Hi Emily,

Thank you for applying to Asana. We appreciate your interest in our mission and for considering us as you take the next steps in your career. Although the team was impressed with your experience, we decided not to move forward with your candidacy at this time.

Please don’t hesitate to stay in touch and reach out in the future if we have another role you feel is a good fit.

All the best,
The Asana Talent Acquisition Team
"
jobs,Thank you for your application on TD Opportunities - 2022 Summer Analyst - Software Engineer,"Dear Emily,
 
Thank you for your interest in the position of 2022 Summer Analyst - Software Engineer - 322063BR. After careful review of your application and the requirements of the role, we wish to advise you that we are pursuing other candidates for this opportunity.  We will retain your profile for future consideration. 
 
We thank you for taking time to explore a career with us and your interest in our organization.
 
Kind regards,
TD
"
jobs,Important information about your application to Coinbase,"Hi Emily,



Thank you for applying to the Winter 2022 Internship - Software Engineer (Remote) role at Coinbase. We’re truly inspired by the talented people interested in building an open financial system for the world.



While this is never easy news to share, we've decided not to move forward with your candidacy. We appreciate you sharing your qualifications; however, we currently have other candidates with experience that align more closely with our needs at this time.



Please keep an eye out for future positions that might be of interest to you, and we will continue to keep your information on file for new openings.



We wish you the very best in your job search and future adventures!



Coinbase Recruiting
"
jobs,"Your application for “Full Stack Web Developer, null”, Twelve is on its way!","
Hi, 

Thank you for your interest in “Full Stack Web Developer, null”, Twelve 

We have forwarded your information to the company and will send you an email once they receive it. This may take up to 24 business hours. If the employer requires additional information from you, we'll also let you know within the same time frame. 

In the meantime, you can keep browsing other related job offers. 

Full Stack .NET Developer with Real Estate Company / $5 Billion in Revenue  

West Hollywood, California

Full-Stack Web/ Mobile Developer  

Los Angeles, California

Full Stack UI Developer with NodeJS and Java  

Glendale, California

Full Stack Developer (JAVA/API)  

Los Angeles, California

Sr. Full Stack Developer  

Santa Fe Springs, California

Search jobs  

The neuvoo team"
jobs,"Emily, we've received your application","
Hi Emily,

Thank you for your interest in Twelve. We wanted to let you know we received your application to the Full Stack Web Developer position, and we are delighted that you would consider joining our team.

We will review your application and will be in touch if your qualifications match our needs for the role. If you are not selected for this position, please keep an eye on our jobs page as we grow the team and add more openings.

Thanks again for your inquiry.

- Twelve Team
 "
jobs,Twelve has Successfully Received Your Job Application!,"
Hello Emily, 

Thank you for submitting your application for the position of “Full Stack Web Developer, null” at Twelve. Your form has been successfully received by the employer. 

Here’s a copy of the information that has been sent: 

First Name: Emily 
Last Name: Fang 
Email: fangemily60@gmail.com 
Attached File: Resume (1).pdf 

On behalf of Twelve, we would like to thank you for your interest in this position and would like to wish you the best of luck in your application process. 

Looking for more opportunities?

Browse related jobs  

The neuvoo team"
jobs,Thank you for your interest in Two Sigma,"Hi Emily,

Thank you for your interest in Two Sigma!  We’ve successfully received your application for the following position:

Software Engineering Campus Hire - NYC

What happens now? Over the next few weeks, our Recruiting team will carefully assess your qualifications for this role, as well as any others that we think might be a good fit.  We‘ll then be in touch within the next two weeks if there’s a good match. 

In the meantime, if you'd like to learn more about Two Sigma, please visit www.twosigma.com/careers. Here you’ll find lots of information about our people, our culture and our work.

Thanks,

The Folks at Two Sigma
"
jobs,Campus Recruitment - 2022 Full Time Software Engineer -21021458 at American Express,"
Dear Emily Fang:

Your application for the position of Campus Recruitment - 2022 Full Time Software Engineer -21021458 has been received. If your application corresponds to the position requirements, a member of our recruiting team may contact you. If you would like to review your candidate file, Click here.

What to Expect: Recruitment at American Express
 
American Express strives to provide a great candidate experience at every stage of consideration. We are interested in your feedback! Please click here to complete a 1-2 minute survey regarding the application process. Feedback is anonymized and is not visible to recruiters and hiring leaders.

Thank you for your interest in American Express!

Emily Gazzola | Global Talent Acquisition
American Express
E: Emily.Gazzola@aexp.com
 

 "
jobs,Thank you for applying to DoorDash,"DoorDash Logo
Hi Emily,

Thank you for applying to DoorDash's Software Engineer, New Grad position! We've received your application and will review it as soon as possible! If your background looks like a good match, we'll reach out to coordinate next steps.

In the meantime, feel free to download the DoorDash app and give us a go! You can also check us out / follow us on social media.

( https://www.glassdoor.com/Overview/Working-at-DoorDash-EI_IE813073.11,19.htm )
Our Commitment to Diversity and Inclusion

We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to thrive.

** Please note: This email is sent from an unattended mailbox. Replies will not be read.
"
jobs,Thank you for applying to SADA,"Hi Emily,

Thanks for your interest in a career at SADA. Your application has been received.

What happens now? We will review your application and will contact you if there is a good fit.

Regards,

SADA Talent Acquisition team

** Please note: Do not reply to this email. This email is sent from an unattended mailbox. Replies will not be read.
"
jobs,Set up a user name and password at American Express,"
Hi Emily Fang,
 
In a recent visit to our careers website you applied to an open position and did not create an account with us when applying. 
 
We request that you set up a user name and password.  You will need that user name and password to review or update your profile or any job submissions.  You can also use this account to submit applications to more open roles of your interest. 

Access Code: cSgs2I_1

Click here to set-up your user name and password.

Best regards,

Global Talent Acquisition

American Express

Please do not respond to this message. Replies are undeliverable and will not reach Global Talent Acquisition.

 "
jobs,Thank You For Applying,"Hi Emily,

Thank you for applying to SeatGeek! Your application for Software Engineer is in safe hands, and we will get back to you soon. We promise you won't be left in the dark.

In the meantime, check us out on Instagram ( https://www.instagram.com/seatgeek/?hl=en ), LinkedIn ( https://www.linkedin.com/company/seatgeek ), and Glassdoor ( https://www.glassdoor.com/Overview/Working-at-SeatGeek-EI_IE478188.11,19.htm ).

Cheers!

The SG Team
"
jobs,Thank you for applying!,"
Hi Emily, 

This email is to let you know we have received your application. We appreciate your interest in TopBloc and the Software Engineer I opportunity. We are currently reviewing applications and expect to schedule interviews in the next couple of weeks.

If you are selected for an interview, you will receive an email from our Recruiting team. Thank you again for your interest in TopBloc. We appreciate the time you took to apply!

Thank you,
TopBloc Recruiting Team 

Business Process: Job Application: Emily Fang - R0000416 Software Engineer I on 09/13/2021 

Subject: Emily Fang - R0000416 Software Engineer I 

This email was intended for fangemily60@gmail.com

 "
jobs,Thank you for applying to Datadog,"Hi Emily,

Thank you for your interest in Datadog! We wanted to confirm that we have received your application for the Software Engineer - Recent Grad job.

Our recruiting team manually reviews every single candidate’s profile, and we receive a high volume of applications, so it may be a couple of weeks before we can get in touch with you regarding the next steps.

While you wait for an update, you can learn more about Datadog by visiting our Careers page ( https://www.datadoghq.com/careers/ ). You can also learn more about #datadoglife from our employees on LinkedIn ( https://www.linkedin.com/feed/hashtag/datadoglife/ ) and Instagram ( https://www.instagram.com/datadoghq/ ).

We will be in touch soon!

Kind regards,

The Datadog Recruiting Team

PS: If you've applied for multiple roles, you may hear back from us more than once.
"
jobs,You applied for Software Engineer (Entry Level) at Tata Consultancy Services,"Your application was sent to Tata Consultancy Services
----------------------------------------------------------------

Software Engineer (Entry Level)
Tata Consultancy Services
Applied:Applied: 5 seconds ago
View job: https://www.linkedin.com/comm/jobs?viewJob=&jobId=2681774934&midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&trk=eml-jobs_applicant_applied-applied_jobs-9-applied_job&trkEmail=eml-jobs_applicant_applied-applied_jobs-9-applied_job-null-bae3jb%7Ektj143gp%7Efh-vjs-viewJob&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D

----------------------------------------------------------------
Here are similar jobs you may be interested in!
----------------------------------------------------------------

Software Engineer
Kayhan Space
Greater Denver Area
24 days ago
View job: https://www.linkedin.com/comm/jobs/view/2687485290?midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&trk=eml-jobs_applicant_applied-similar_jobs-0-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-0-similar_job-null-bae3jb%7Ektj143gp%7Efh-null-jobs%7Eview&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D

----------------------------------------------------------------

Software Engineer
Skupos Inc.
Greater Denver Area
12 days ago
View job: https://www.linkedin.com/comm/jobs/view/2703901407?midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&trk=eml-jobs_applicant_applied-similar_jobs-1-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-1-similar_job-null-bae3jb%7Ektj143gp%7Efh-null-jobs%7Eview&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D

----------------------------------------------------------------

Software Engineer (C/C++)
NagraStar
Greater Denver Area
20 days ago
View job: https://www.linkedin.com/comm/jobs/view/2673259699?midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&trk=eml-jobs_applicant_applied-similar_jobs-2-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-2-similar_job-null-bae3jb%7Ektj143gp%7Efh-null-jobs%7Eview&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D

----------------------------------------------------------------

Software Engineer
Kaseware
Greater Denver Area
3 months ago
View job: https://www.linkedin.com/comm/jobs/view/2599873743?midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&trk=eml-jobs_applicant_applied-similar_jobs-3-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-3-similar_job-null-bae3jb%7Ektj143gp%7Efh-null-jobs%7Eview&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D

----------------------------------------------------------------

Software Engineer
PMAT INC.
Greater Denver Area
4 days ago
View job: https://www.linkedin.com/comm/jobs/view/2710258609?midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&trk=eml-jobs_applicant_applied-similar_jobs-4-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-4-similar_job-null-bae3jb%7Ektj143gp%7Efh-null-jobs%7Eview&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D

----------------------------------------------------------------

Software Engineer
TiLT
Greater Denver Area
4 hours ago
View job: https://www.linkedin.com/comm/jobs/view/2681844564?midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&trk=eml-jobs_applicant_applied-similar_jobs-5-similar_job&trkEmail=eml-jobs_applicant_applied-similar_jobs-5-similar_job-null-bae3jb%7Ektj143gp%7Efh-null-jobs%7Eview&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D

----------------------------------------------------------------

See more jobs: https://www.linkedin.com/comm/jobs/?midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&trk=eml-jobs_applicant_applied-similar_jobs-7-see_all_jobs&trkEmail=eml-jobs_applicant_applied-similar_jobs-7-see_all_jobs-null-bae3jb%7Ektj143gp%7Efh-null-jobs%7Ehome&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D



.....................................

Unsubscribe: https://www.linkedin.com/e/v2?e=bae3jb-ktj143gp-fh&t=lun&midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&ek=jobs_applicant_applied&li=17&m=unsub&ts=unsub&eid=bae3jb-ktj143gp-fh&loid=AQG7yY8KqLpK6AAAAXvgmJtsCK5PJlC2UQdxQRArkO7u5WHi7lfn0XGZjQrVhFqTNIcHqmqXyY2r5VfgN5CwTeMpi19KtLm6rO0jBevxnE51OuzwjXkJ

Help: https://www.linkedin.com/e/v2?e=bae3jb-ktj143gp-fh&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D&a=customerServiceUrl&midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&ek=jobs_applicant_applied&li=16&m=footer&ts=help&articleId=67


You are receiving LinkedIn notification emails.

This email was intended for Emily Fang (Computer Aide Intern at Con Edison).
Learn why we included this: https://www.linkedin.com/e/v2?e=bae3jb-ktj143gp-fh&lipi=urn%3Ali%3Apage%3Aemail_jobs_applicant_applied%3BhRN4HFAWR3yd5ln8VbhIRA%3D%3D&a=customerServiceUrl&midToken=AQGB4YyBOOhhIg&midSig=22hZv8NhNCXpU1&ek=jobs_applicant_applied&articleId=4788

© 2021 LinkedIn Corporation, 1000 West Maude Avenue, Sunnyvale, CA 94085. LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.
"
